University Name,City,Programe/Course,Tuition Fee/ Per year in EUR for EU Students,Tuition Fee/Per Year in EUR for Non-EU students,Deadline,Programme Duration,Accomodation,Category,Level
University of Debrecen ,Debrecen ,Postgraduate Diploma in Lean Manager,7181,7181,15/6/23,1,YES,Engineering ,Masters
University of Debrecen ,Debrecen ,Postgraduate Diploma in Strategic Engineering and Sustainability Leadership,7181,7181,15/6/23,1,YES,Engineering ,Masters
University of Debrecen ,Debrecen ,Complex Rehabilitation,7660,7660,31/5/23,2,YES,Health sciences ,Masters
University of Debrecen ,Debrecen ,Public Health,7660,7660,31/5/23,1.5,YES,Health sciences ,Masters
University of Debrecen ,Debrecen ,Social Work in Health Care,5267,5267,31/5/23,2,YES,Health sciences ,Masters
University of Debrecen ,Debrecen ,Social Work and Social Economy,5267,5267,31/5/23,2,YES,Health sciences ,Masters
University of Debrecen ,Debrecen ,English Studies,6521,6521,31/5/23,4,YES,Humanties,Masters
University of Debrecen ,Debrecen ,American Studies,6521,6521,31/5/23,4,YES,Humanties,Masters
University of Debrecen ,Debrecen ,Business Informatics,7181,7181,15/6/23,2,YES,Computer science ,Masters
University of Debrecen ,Debrecen ,Computer Science,7181,7181,15/6/23,4,YES,Computer science ,Masters
University of Debrecen ,Debrecen ,Computer Science Engineering,7181,7181,15/6/23,4,YES,Computer science ,Masters
University of Debrecen ,Debrecen ,Postgraduate Diploma in Artificial Intelligence,7660,7660,15/6/23,2,YES,Computer science ,Masters
University of Debrecen ,Debrecen ,European and International Business Law- LL.M.,7181,7181,15/6/23,2,YES,Law,Masters
University of Debrecen ,Debrecen ,Classical Musical Performance,9557,9557,15/6/23,4,YES,Performance arts ,Masters
University of Debrecen ,Debrecen ,Applied Mathematics,7181,7181,31/5/23,4,YES,Applied Mathematics ,Masters
University of Debrecen ,Debrecen ,Biology,7181,7181,31/5/23,4,YES,Natural science and mathematics ,Masters
University of Debrecen ,Debrecen ,Chemistry,7181,7181,31/5/23,4,YES,Natural science and mathematics ,Masters
University of Debrecen ,Debrecen ,Environmental Sciences,7181,7181,31/5/23,4,YES,Environmental studies ,Masters
