university,country,title,level,field,duration,tuition_amount,tuition_currency,intake,deadline,source_url,source_checked_at,data_status,active
University of Debrecen,Hungary,Biotechnology,Bachelors,Natural science and mathematics,3,6212,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Mathematics,Bachelors,Natural science and mathematics,3,6212,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,​Physics,Bachelors,Natural science and mathematics,3,6212,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Animal Husbandry Engineering,Masters,Agriculture and forestry,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Agricultural Environmental Management Engineering,Masters,Agriculture and forestry,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Agricultural Water Management Engineering,Masters,Agriculture and forestry,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Crop Production Engineering,Masters,Agriculture and forestry,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Food Safety and Quality Engineering,Masters,Agriculture and forestry,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Plant Protection,Masters,Agriculture and forestry,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,​Rural Development Engineering,Masters,Agriculture and forestry,4,7181,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,International Economy and Business,Masters,Business and management,4,7181,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Chemical Engineering,Masters,Engineering,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Engineering Management,Masters,Engineering,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Electrical Engineering,Masters,engineering,4,7660,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Environmental Engineering,Masters,Engineering,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Mechatronical Engineering,Masters,Engineering,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,​Mechanical Engineering,Masters,Engineering,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Sports Engineering,Masters,Engineering,4,7660,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Vehicle Engineering,Masters,Engineering,4,7660,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Urban Systems Engineering,Masters,Engineering,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Postgraduate Diploma in Lean Engineer,Masters,Engineering,1,7181,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Postgraduate Diploma in Lean Manager,Masters,Engineering,1,7181,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Postgraduate Diploma in Strategic Engineering and Sustainability Leadership,Masters,Engineering,1,7181,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Complex Rehabilitation,Masters,Health sciences,2,7660,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Public Health,Masters,Health sciences,1.5,7660,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Social Work in Health Care,Masters,Health sciences,2,5267,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Social Work and Social Economy,Masters,Health sciences,2,5267,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,English Studies,Masters,Humanties,4,6521,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,American Studies,Masters,Humanties,4,6521,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Business Informatics,Masters,Computer science,2,7181,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Computer Science,Masters,Computer science,4,7181,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Computer Science Engineering,Masters,Computer science,4,7181,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Postgraduate Diploma in Artificial Intelligence,Masters,Computer science,2,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,European and International Business Law- LL.M.,Masters,Law,2,7181,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Classical Musical Performance,Masters,Performance arts,4,9557,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Applied Mathematics,Masters,Applied Mathematics,4,7181,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Biology,Masters,Natural science and mathematics,4,7181,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Chemistry,Masters,Natural science and mathematics,4,7181,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Environmental Sciences,Masters,Environmental studies,4,7181,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Geography,Masters,Environmental studies,4,7181,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Geoinformatics,Masters,sciences,4,7181,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,​Hydrobiology - Water Quality Management,Masters,Environmental studies,4,7181,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Molecular Biology,Masters,Natural science and mathematics,2,8141,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Physics,Masters,Natural science and mathematics,4,7181,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Corporate Finance,Bachelors,Business and management,3,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Business Management,Bachelors,Business and management,3,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
