Institution,Country
Queen's University Belfast,United Kingdom
Northumbria University London,United Kingdom
Ulster University,United Kingdom
Bangor University,United Kingdom
Seinäjoki University of Applied Sciences (SEAMK),Finland
Tampere University of Applied Sciences (TAMK),Finland
Murdoch University,Australia
Curtin University - Dubai,United Arab Emirates
Heriot Watt University,United Arab Emirates
University of Europe for Applied Sciences,Germany
SRH,Germany
